"گوشي خوبيه(قوي و شکيل و زيبا و بي رقيب)البته تو تيپ وگروه خودش عاليه!","1"
"سلام خيلي خوبه بخرين.","2"
"از جمله قابلیت‌های ارتباطی HTC Desire SV می‌توان به پشتیبانی از Wi-Fi،  GPRS،  3G اشاره کرد که برقراری ارتباط با اینترنت را به سهولت فراهم می‌کنند.","0"
"نهایتا،  یک دوربین VGA نیز برای انجام مکالمات تصویری در قسمت جلویی گوشی تعبیه گردیده است.","0"
"من حدوداً ۱ ماهي‌ که مي‌شه اين گوشي رو دارم، راضي‌ هم هستم، در مورد دکمه‌هاي لمسي پايين گوشي بايد گفت که حساسيت اين دکمه‌ها کم نيست، بلکه قسمت حساس اين دکمه‌ها خيلي‌ ريز طراحي‌ شده، واسه همين يا بايد دستتون رو روش بکشيد يا اينکه نقطه حساس رو پيدا کرده و طبقه عادت بتونين دقيق اون نقطه رو لمس کنين (دقيقترش مي‌شه يه ذره بالاتر از علامت روي دکمه ها، تقريبا نوک علامت ها)، اينطوري ديگه نيازي به کشيدن هم نداره.","1"
"اندازه نسبتاً مناسب و وزن خوب 4.","1"
"گوشيه خوب و شيکيه / ولي خيلي به صرفه نيست","0"
"تقريبا 2 سال هست که از اين اسکنر استفاده ميکنم و کاملا  از آن راضيم","2"
"کلیدها فضای کافی برای فشار دادن داشته و بازخورد بسیار خوبی دارند.","2"
"با سلام

من يک هفته است که دوربين رو خريداري کردم

اولين نکته  که اين دوربين ساخت چين است

دوم اينکه در مود دستي که رنگهاي عکاسي استاندارد و کرم و سياه و سفيد دارد شما عکس کرم را نميتوانيد بگيريد و فقط سياه سفيد و استاندارد را ميتوان انتخاب کرد

سوم اينکه با توجه به قيمت آن عکسهاي خوبي نمي توان گرفت و فقط کار راه انداز است","-1"
"البته کیفیت فیلم برداری آن خوب است ولی برای مثال فقدان سیستم لرزش گیر تصویر اپتیکال باعث می‌شود که اگر بخواهید خیلی جدی فیلم برداری کنید به سه پایه هم احتیاج داشته باشید.","0"
"البته تنها کیفیت بالای تاچ پد،  دلیل این امر نیست و یکپارچه بودن سیستم عامل OS X نیز با فرمان‌های لمسی ،  در این امر بسیار موثر است.","1"
"اينبار اپل ترکوند  واقعا خيلي گوشيه زيباييه ولي از لحاظ سخت افزاري هنوز يکمي مونده تا به S3 برسه

","1"
"ولی افزایش پرینت ها به 20 صفحه باعث شد که بتوانیم به سرعت 15.8 صفحه در دقیقه برسیم که این چیزی در حدود 75 درصد سرعت ادعایی HP است.","0"
"توي قيمت بهترين گوشي هست.","1"
"اما باید بگوییم که این دستگاه در مورد انجام وظایف خود بعنوان تبلت و لپ تاپ،  تقریبا در هیچ کدام کامل نیست و از هر یک شاید نیمی را با موفقیت پشت سر می‌گذارد.","-1"
"در تست‌های سخت افزاری،  این تبلت بسیار قدرتمند تر از Samsung Galaxy Tab 10.1 و Asus TF300 نشان داد که این خبر بسیار خوبی است.","2"
"همه چيش عاليه .","2"
"مثلا عکاسي از يک چهره خيلي قرمز يا صورتي يا زرد رنگ نيست .","0"
"من خودم اين تبلت رو دارم و هيچ مشکلي نداره رزولوشن عالي هست هيچ فرقي با نوت ۱۰.","2"
"دوربينش واقعا عاليه.","2"
"يه حسني که داره نور محيطو جذب ميکنه بازتاب نميکنه برنامه‌هاي متنوعي داره مثل کيدز که براي سرگرمي بچه هاست به نسبت قيمتش و سه بعدي بودنش و کنتراست بالايي که داره فوق‌العاده قيمتش مناسبه رزولوشن عالي داره ميشه گفت هيچ جاي سياهي هم اطراف تصوير نمي داره من نسخه فيلم هاي فول اچ دي رو روش تست کردم واقعاً عاليه .","2"
"کیفیت تصاویر تولید شده شفاف و رنگ‌ها نیز کاملا طبیعی و زنده هستند.","2"
"سلام 

من الان  دارم با اين گوشي متن رو مي‌نويسم 

امروز دستم رسيد رنگ مشکي از ديجي کالا خريدم

فوق العادست 

صفحه نمايش عالي اندازه بزرگو باريک و عالي 

تاج منو هاش با نيم ساعت کار کردن ياد ميگيري و مشکلي نداره.","2"
"از قابلیت‌های این دوربین می‌توان به عکاسی HDR،  لرزش گیر دست،  تشخیص چهره و عکاسی پیاپی اشاره نمود.","0"
"و اگه داشته باشين به نسبت به قيمتش عاليه.","2"
"شاید خواسته با این کار کماکان Note 10.1 را خاص نگه دارد.","0"
"اما ساخت این تبلت تفاوت خاصی نکرده و جنس پلاستیکی بدنه در این تبلت هم تکرار گشته است.","-1"
"فوق العاده هستش.","2"
"اپل رو واقعا دوست دارم.","1"
"البته این پیشرفت را می توان در همه ی مدل های سال 2012 ی سونی مشاهده کرد.","0"
"• دوربین یکی از بزرگ‌ترین ضعف‌های نسل چهارم iPod Touch،  دوربین آن بود که دقت آن کمتر از یک مگاپیکسل است.","-2"
"لنز وايد ،  از کجا ميشه تهيه کرد و قيمتش حدودا چقده؟","0"
"اگر به دنبال لپ ‌تاپی زیبا،  خوش ساخت و با قیمتی مناسب هستید،  مطمئنا لپ‌تاپ‌های سری 3 کمپانی سامسونگ،  جزو بهترین انتخاب‌های شما خواهند بود.","2"
")8- و اما مهمترين برتري: قيمت اين گوشي نصف HTC Desire SV است.","0"
"که من اصلا انتظارشو نداشتم خيلي بد و ضعيف آنتن ميده و براي يک محيط خونگي شايد اينترنتش خوب باشه نه بيشتر.","-1"
"دليل من داغ شدن اون هست و البته داغ شدن سيستم بعد از حدود يک ساعت و خورده اي بازي !","-1"
